COMPONENTE,PROGRAMA,"CODIGO
CUPS ACTUALES ","CODIGO
CUPS NUEVOS ",ACTIVIDAD,FINALIDAD,DIAGNOSTICOS ,DESCRIPCIÓN FRECUENCIA,POBLACIÓN GRUPO ETAREO
DETECCION TEMPRANA,ALTERACIONES DEL MENOR EN  INFANCIA,902211,902211,HEMATOCRITO (Mujeres Una vez  entre 10 a 13 años),12,Z001 -Z002,10 A 11 AÑOS  (1 x periodo según menarca),10 A 11 AÑOS
DETECCION TEMPRANA,ALTERACIONES DEL MENOR EN  INFANCIA,902213,902213,HEMOGLOBINA  (Mujeres Una vez  entre 10 a 13 años),13,Z001 -Z002,11 A 11 AÑOS  (1 x periodo según menarca),10 A 11 AÑOS
DETECCION TEMPRANA,ALTERACIONES DEL MENOR EN  INFANCIA,990204,"990201,990203,990204",EDUCACION INDIVIDUAL ,Ver finalidades al final,Z718,0 A 5 AÑOS, 0 a 5 años 
DETECCION TEMPRANA,ALTERACIONES DEL MENOR EN  INFANCIA,9901,"990101,990103,990104",EDUCACION FAMILIAR - GRUPAL ,Ver finalidades al final,Z718,0 A 5 AÑOS, 0 a 5 años 
DETECCION TEMPRANA,ALTERACIONES DEL ADOLESCENCIA,890201.8903,890201.8903,CONSULTA POR MEDICINA GENERAL,11,Z003,"12 A 17 AÑOS - 1 AL AÑO , 12, 14 y 16 años",12 A 17 AÑOS
DETECCION TEMPRANA,ALTERACIONES DEL ADOLESCENCIA,890205.8903,890205.8903,CONSULTA DE CONTROL O SEGUIMIENTO DE PROGRAMA POR ENFERMERA,11,Z003,"12 A 17 AÑOS - 1 AL AÑO , 13, 15 y 17 años",12 A 17 AÑOS
DETECCION TEMPRANA,ALTERACIONES DEL ADOLESCENCIA,890203,890203,CONSULTA POR ODONTOLOGIA GENERAL ,11,Z003,12 A 17 AÑOS - 1 AL AÑO ,12 A 17 AÑOS
DETECCION TEMPRANA,ALTERACIONES DEL ADOLESCENCIA,902211,902211,HEMATOCRITO (Mujeres 1 vez entre los 10 a los 13 y una vez entre los 14 a los 17 años),12,Z003,14 A 17 AÑOS (1 x periodo),14 A 17 AÑOS
DETECCION TEMPRANA,ALTERACIONES DEL ADOLESCENCIA,902213,902213,HEMOGLOBINA(Mujeres 1 vez entre los 10 a los 13 y una vez entre los 14 a los 17 años),13,Z003,14 A 17 AÑOS (1 x periodo),14 A 17 AÑOS
DETECCION TEMPRANA,ALTERACIONES DEL ADOLESCENCIA,990204,"990201,990203,990204",EDUCACION INDIVIDUAL ,Ver finalidades al final,Z718,0 A 5 AÑOS, 0 a 5 años 
DETECCION TEMPRANA,ALTERACIONES DEL ADOLESCENCIA,9901,"990101,990103,990104",EDUCACION FAMILIAR - GRUPAL ,Ver finalidades al final,Z718,0 A 5 AÑOS, 0 a 5 años 
DETECCION TEMPRANA,ALTERACIONES DEL JUVENTUD,890201,890201,CONSULTA POR MEDICINA GENERAL,11,Z108,18 A 28 AÑOS ( 1  vez cada 5 años),18 A 28 AÑOS
DETECCION TEMPRANA,ALTERACIONES DEL JUVENTUD,890203,890203,CONSULTA POR ODONTOLOGIA GENERAL ,11,Z108,18 A 28 AÑOS - 1 cada 2 años,18 A 28 AÑOS
DETECCION TEMPRANA,ALTERACIONES DEL JUVENTUD,907106,907106,UROANALISIS,12,Z108,SEGÚN RIESGO,18 A 28 AÑOS
DETECCION TEMPRANA,ALTERACIONES DEL JUVENTUD,903895,903895,"CREATININA EN SUERO, ORINA U OTROS",13,Z108,SEGÚN RIESGO,18 A 28 AÑOS
DETECCION TEMPRANA,ALTERACIONES DEL JUVENTUD,903841,903841,"GLUCOSA EN SUERO, LCR U OTROS FLUIDOS",14,Z108,SEGÚN RIESGO,18 A 28 AÑOS
DETECCION TEMPRANA,ALTERACIONES DEL JUVENTUD,903815,903815,COLESTEROL DE ALTA DENSIDAD - HDL,15,Z108,SEGÚN RIESGO,18 A 28 AÑOS
DETECCION TEMPRANA,ALTERACIONES DEL JUVENTUD,903816,903816,COLESTEROL DE BAJA DENSIDAD ENZIMATICO – LDL,16,Z108,SEGÚN RIESGO,18 A 28 AÑOS
DETECCION TEMPRANA,ALTERACIONES DEL JUVENTUD,903818,903818,COLESTEROL TOTAL,17,Z108,SEGÚN RIESGO,18 A 28 AÑOS
