;;;OTROS CRITERIOS;OTROS CRITERIOS;OTROS CRITERIOS;OTROS CRITERIOS;OTROS CRITERIOS;OTROS CRITERIOS;FUENTE;FUENTE;POBLACION;POBLACION;
RPYMS79X;Cumplimiento en la consulta de adolescencia en el año;personas de 12 a 17 años que cumplen con la realización de la consulta de valoración integral por medicina general, familiar o enfermería en el año;RPYMS;Adolescencia;Consultas;Valoración integral;IPS;Ambos;"1- RIPS 
MEDICINA:
* CUPS Finalidad 11 (anterior Finalidad 5)  o CIE-10: Z003
890201 (consulta de primera vez por medicina general)
890301 (Consulta de control o seguimiento por medicina general)
890263 (consulta de primera vez por especialista en medicina familiar)
890363 (Consulta de control o seguimiento por especialista en medicina familiar)
890283 (consulta de primera vez por especialista en pediatría)
890383 (Consulta de control o seguimiento por especialista en pediatría)
 
* Res 2275 - CUPS con finalidad 11 o CIE-10: Z003
890201 (consulta de primera vez por medicina general)
890301 (Consulta de control o seguimiento por medicina general)
890263 (consulta de primera vez por especialista en medicina familiar)
890363 (Consulta de control o seguimiento por especialista en medicina familiar)
890283 (consulta de primera vez por especialista en pediatría)
890383 (Consulta de control o seguimiento por especialista en pediatría)

ENFERMERIA

* CUPS con Finalidad 11 (anterior Finalidad 5)  o CIE-10: Z003
890205 (Consulta de primera vez por enfermería)
890305 (Consulta de control o de seguimiento por enfermería)

* Res 2275 - CUPS con finalidad 11 o CIE-10: Z003
890205 (Consulta de primera vez por enfermería)
890305 (Consulta de control o de seguimiento por enfermería)";BASE DE DATOS DE AFILIACIONES (CIERRE MES);"población del denominador
Registro de consultas según esquema
Año vigente";"Población al mes a evaluar activos y nuevos
12 a 17 años
Dividido en 12 y multiplicado por mes a evaluar";
RPYMS111X;Cumplimiento en la atención en salud por profesional de medicina en la adolescencia durante el año;Proporción de personas de 12 a 17 años que cumplen con la valoración integral por medicina general o medicina Familiar en el año;RPYMS;Adolescencia;Consultas;Valoración medicina;IPS;Ambos;"1- RIPS 
MEDICINA:
* CUPS Finalidad 11 (anterior Finalidad 5)  o CIE-10: Z003
890201 (consulta de primera vez por medicina general)
890301 (Consulta de control o seguimiento por medicina general)
890263 (consulta de primera vez por especialista en medicina familiar)
890363 (Consulta de control o seguimiento por especialista en medicina familiar)
890283 (consulta de primera vez por especialista en pediatría)
890383 (Consulta de control o seguimiento por especialista en pediatría)
 
* Res 2275 - CUPS con finalidad 11 o CIE-10: Z003
890201 (consulta de primera vez por medicina general)
890301 (Consulta de control o seguimiento por medicina general)
890263 (consulta de primera vez por especialista en medicina familiar)
890363 (Consulta de control o seguimiento por especialista en medicina familiar)
890283 (consulta de primera vez por especialista en pediatría)
890383 (Consulta de control o seguimiento por especialista en pediatría)";BASE DE DATOS DE AFILIACIONES (CIERRE MES);"12, 14 y 16 años
Registro de consultas según esquema
Año vigente";"Población actual al mes a evaluar activos y nuevos
12; 14 y 16 años
Dividido en 12 y multiplicado por mes a evaluar";
RPYMS112X;Cumplimiento en la atención en salud por profesional de enfermería en la adolescencia durante el año;Proporción de personas de 12 a 17 años que cumplen con la valoración integral por enfermería en el año;RPYMS;Adolescencia;Consultas;Valoración enfermería;IPS;Ambos;"1- RIPS 
ENFERMERIA

* CUPS con Finalidad 11 (anterior Finalidad 5)  o CIE-10: Z003
890205 (Consulta de primera vez por enfermería)
890305 (Consulta de control o de seguimiento por enfermería)

* Res 2275 - CUPS con finalidad 11 o CIE-10: Z003
890205 (Consulta de primera vez por enfermería)
890305 (Consulta de control o de seguimiento por enfermería)";BASE DE DATOS DE AFILIACIONES (CIERRE MES);" 13, 15 Y 17 años
Registro de consultas según esquema
Año vigente";"Población actual al mes a evaluar activos y nuevos
 13,15 Y 17 años
Dividido en 12 y multiplicado por mes a evaluar";
RPYMS82X;Cumplimiento de la consulta del joven en el año;personas de 18 a 28 años que cumplen con la valoración integral por medicina general o Familiar en el año;RPYMS;Juventud;Consultas;Valoración integral;IPS;Ambos;"1- RIPS:
MEDICINA:
* CUPS Finalidad 5 o CIE-10: Z003
890201 (consulta de primera vez por medicina general)
890301 (Consulta de control o seguimiento por medicina general)
890263 (consulta de primera vez por especialista en medicina familiar)
890363 (Consulta de control o seguimiento por especialista en medicina familiar)
 
* Res 2275 - CUPS con finalidad 11 o CIE-10: Z003
890201 (consulta de primera vez por medicina general)
890301 (Consulta de control o seguimiento por medicina general)
890263 (consulta de primera vez por especialista en medicina familiar)
890363 (Consulta de control o seguimiento por especialista en medicina familiar)
";BASE DE DATOS DE AFILIACIONES (CIERRE MES);"población del denominador
Registro de consultas según esquema
año vigente";"Población al mes a evaluar activos y nuevos
18 a 28 años 
Dividido en 12 y multiplicado por mes a evaluar";
RPYMS50X;Cobertura de personas adultas, con atención en salud por medicina general o medicina familiar de acuerdo al esquema definido;Proporción de personas de 29 a 59 años que cumplen con el esquema definido de valoración integral por medicina general o Familiar;RPYMS;Adultez;Consultas;Valoración integral;IPS;Ambos;"1- RIPS:
* CUPS con finalidad 7:
890201 (consulta de primera vez por medicina general)
890301 (Consulta de control o seguimiento por medicina general)
890263 (consulta de primera vez por especialista en medicina familiar)
890363 (Consulta de control o seguimiento por especialista en medicina familiar)

* Res 2275 - CUPS con finalidad 11
890201 (consulta de primera vez por medicina general)
890301 (Consulta de control o seguimiento por medicina general)
890263 (consulta de primera vez por especialista en medicina familiar)
890363 (Consulta de control o seguimiento por especialista en medicina familiar)

2- Res 202: Variable 52 - Fecha Valida

Edad a la fecha de corte y a la fecha de la consulta";BASE DE DATOS DE AFILIACIONES (CIERRE MES);"población del denominador
Registro de consultas según esquema";"Población al mes a evaluar activos y nuevos 
29 a 59 años";
RPYMS84X;Cumplimiento del programa del adulto en el año vigente;Personas de 29 a 59 años que cumplen con la valoración integral por medicina general o Familiar en el año vigente;RPYMS;Adultez;Consultas;Valoración integral;IPS;Ambos;"1- RIPS:
* CUPS con finalidad 7:
890201 (consulta de primera vez por medicina general)
890301 (Consulta de control o seguimiento por medicina general)
890263 (consulta de primera vez por especialista en medicina familiar)
890363 (Consulta de control o seguimiento por especialista en medicina familiar)

* Res 2275 - CUPS con finalidad 11
890201 (consulta de primera vez por medicina general)
890301 (Consulta de control o seguimiento por medicina general)
890263 (consulta de primera vez por especialista en medicina familiar)
890363 (Consulta de control o seguimiento por especialista en medicina familiar)

2- Res 202: Variable 52 - Fecha Valida

Edad a la fecha de la consulta";BASE DE DATOS DE AFILIACIONES (CIERRE MES);"población del denominador
Registro de consultas según esquema
Año vigente";"Población al mes a evaluar activos y nuevos 
29 a 59 años
Dividido en 12 y multiplicado por mes a evaluar";
RPYMS51X;Cobertura de personas en la vejez con atención en salud por medicina general o medicina familiar de acuerdo al esquema definido;Proporción de personas de 60 años y mas que cumplen con el esquema definido de valoración integral por medicina general o Familiar;RPYMS;Vejez;Consultas;Valoración integral;IPS;Ambos;"1- RIPS 
* CUPS con finalidad 7
890201 (consulta de primera vez por medicina general)
890301 (Consulta de control o seguimiento por medicina general)
890263 (consulta de primera vez por especialista en medicina familiar)
890363 (Consulta de control o seguimiento por especialista en medicina familiar) 

* Res 2275 - CUPS con finalidad 11 
890201 (consulta de primera vez por medicina general)
890301 (Consulta de control o seguimiento por medicina general)
890263 (consulta de primera vez por especialista en medicina familiar)
890363 (Consulta de control o seguimiento por especialista en medicina familiar)

2- Res 202 Variable 52 - Fecha valida

Edad a la fecha de corte y a la fecha de la consulta";BASE DE DATOS DE AFILIACIONES (CIERRE MES);"población de denominador
Registro de consultas según esquema";"Población al mes a evaluar activos y nuevos 
60 años y más";
RPYMS108X;Cumplimiento en la consulta vejez en el año vigente;Personas de 60 años y mas que cumplen con la valoración integral por medicina general o Familiar en el año vigente;RPYMS;Vejez;Consultas;Valoración integral;IPS;Ambos;"1- RIPS 
* CUPS con finalidad 7
890201 (consulta de primera vez por medicina general)
890301 (Consulta de control o seguimiento por medicina general)
890263 (consulta de primera vez por especialista en medicina familiar)
890363 (Consulta de control o seguimiento por especialista en medicina familiar) 

* Res 2275 - CUPS con finalidad 11 
890201 (consulta de primera vez por medicina general)
890301 (Consulta de control o seguimiento por medicina general)
890263 (consulta de primera vez por especialista en medicina familiar)
890363 (Consulta de control o seguimiento por especialista en medicina familiar)

2- Res 202 Variable 52 - Fecha valida

Edad a la fecha de la consulta";BASE DE DATOS DE AFILIACIONES (CIERRE MES);"Población de denominador
Registro de consultas según esquema
Año Vigente";"Población al mes a evaluar activos y nuevos
60 años y más 
Dividido en 12 y multiplicado por mes a evaluar";
RPYMS34X;Cobertura de niños y niñas con esquema completo de vacunación;Proporción de personas de 0 A 71 Meses que registran esquema de vacunacion regular (PAI) completo para la edad;RPYMS;Primera Infancia;Procedimiento;Vacuna;IPS;Ambos;"1- Modulo de gestión de vacunación menores
 * PAIWEB - PAI DISTRITAL
 * Plantilla menores EPS
 * RIPS (Dosis únicas)";BASE DE DATOS DE AFILIACIONES (CIERRE MES);"Población denominador
Esquema de vacunación completo para la edad al mes evaluado";"Población al mes a evaluar activos y nuevos
0 a 71 meses";
RPYMS106X;Cobertura de vacunación en menores de 0 a 11 meses;Proporción de niños de 0 a 11 meses que registran esquema de vacunacion regular (PAI) completo para la edad;RPYMS;Primera Infancia;Procedimiento;Vacuna;IPS;Ambos;"1- Modulo de gestión de vacunación menores
 * PAIWEB - PAI DISTRITAL
 * Plantilla menores EPS
 * RIPS (Dosis únicas)";BASE DE DATOS DE AFILIACIONES (CIERRE MES);"Población denominador
Esquema de vacunación completo para la edad al mes evaluado";"Población al mes a evaluar activos y nuevos 
0 a 11 meses 29 días";
