CodigoCUPS,DescripcionCUPS,Grupo,Ruta
871091,RADIOGRAFIA DE ARTICULACIONES SACROILIACAS(4837),IMAGENOLOGIA,MORBILIDAD
871111,RADIOGRAFIA DE REJA COSTAL(4838),IMAGENOLOGIA,MORBILIDAD
871112,RADIOGRAFIA DE ESTERNON(4839),IMAGENOLOGIA,MORBILIDAD
871121,RADIOGRAFIA DE TORAX (P.A. O A.P. Y LATERAL, DECUBITO LATERAL, OBLICUAS O LATERAL)(4840),IMAGENOLOGIA,MORBILIDAD
871129,RADIOGRAFIA DE ARTICULACIONES ESTERNOCLAVICULARES(4841),IMAGENOLOGIA,MORBILIDAD
871202,APICOGRAMA(4844),IMAGENOLOGIA,MORBILIDAD
872002,RADIOGRAFIA DE ABDOMEN SIMPLE(4853),IMAGENOLOGIA,MORBILIDAD
873001,RADIOGRAFIA PARA SERIE ESQUELETICA(4873),IMAGENOLOGIA,MORBILIDAD
873002,RADIOGRAFIA DE HUESOS LARGOS SERIE COMPLETA (ESQUELETO AXIAL Y APENDIPULAR)(4874),IMAGENOLOGIA,MORBILIDAD
873004,RADIOGRAFIA PARA DETECTAR EDAD OSEA [CARPOGRAMA] +(4877),IMAGENOLOGIA,MORBILIDAD
873111,RADIOGRAFIA DE OMOPLATO(4878),IMAGENOLOGIA,MORBILIDAD
873112,RADIOGRAFIA DE CLAVICULA(4879),IMAGENOLOGIA,MORBILIDAD
873121,RADIOGRAFIA DE HUMERO +(4880),IMAGENOLOGIA,MORBILIDAD
873122,RADIOGRAFIA DE ANTEBRAZO +(4881),IMAGENOLOGIA,MORBILIDAD
873123,RADIOGRAFIAS COMPARATIVAS DE EXTREMIDADES SUPERIORES(36847),IMAGENOLOGIA,MORBILIDAD
873202,RADIOGRAFIA DE ARTICULACIONES ACROMIO CLAVICULARES COMPARATIVAS(4882),IMAGENOLOGIA,MORBILIDAD
873204,RADIOGRAFIA DE HOMBRO(4883),IMAGENOLOGIA,MORBILIDAD
873205,RADIOGRAFIA DE CODO(4884),IMAGENOLOGIA,MORBILIDAD
873206,RADIOGRAFIA DE MUÐECA +(4885),IMAGENOLOGIA,MORBILIDAD
873210,RADIOGRAFIA DE MANO(4886),IMAGENOLOGIA,MORBILIDAD
873302,RADIOGRAFIA PARA MEDICION DE MIEMBROS INFERIORES [ESTUDIO DE FARILL U OSTEOMETRIA](4887),IMAGENOLOGIA,MORBILIDAD
873303,RADIOGRAFIA COMPARATIVA DE PIES CON APOYO (AP Y LATERAL)(47414),IMAGENOLOGIA,MORBILIDAD
873305,RADIOGRAFIA PANORAMICA DE MIEMBROS INFERIORES (GONIOMETRIA U ORTOGRAMA). EN FORMATO 14 X 36 (ADULTOS) +(4889),IMAGENOLOGIA,MORBILIDAD
873306,RADIOGRAFIA PANORAMICA DE MIEMBROS INFERIORES (GONIOMETRIA U ORTOGRAMA). EN FORMATO 14 X 17 (NIÐOS) +(4891),IMAGENOLOGIA,MORBILIDAD
873311,RADIOGRAFIA DE ANTEVERSION FEMORAL(4894),IMAGENOLOGIA,MORBILIDAD
873312,RADIOGRAFIA DE FEMUR AP Y LATERAL(4895),IMAGENOLOGIA,MORBILIDAD
873313,RADIOGRAFIA DE PIERNA AP Y LATERAL(4896),IMAGENOLOGIA,MORBILIDAD
873314,RADIOGRAFIA DE ANTEVERSION TIBIAL(4897),IMAGENOLOGIA,MORBILIDAD
873333,RADIOGRAFIA DE PIE (AP LATERAL Y OBLICUA)(4898),IMAGENOLOGIA,MORBILIDAD
873335,RADIOGRAFIA DE CALCANEO AXIAL Y LATERAL(4899),IMAGENOLOGIA,MORBILIDAD
873340,RADIOGRAFIA DE MIEMBRO INFERIOR AP Y LATERAL +(4900),IMAGENOLOGIA,MORBILIDAD
873411,RADIOGRAFIA DE CADERA O ARTICULACION COXO-FEMORAL (AP, LATERAL)(4901),IMAGENOLOGIA,MORBILIDAD
873420,RADIOGRAFIA DE RODILLA AP. LATERAL +(4903),IMAGENOLOGIA,MORBILIDAD
